name,ticker,type,category,risk,jurisdiction,overall_score,market_cap,above_50dma,current_price,comment,pros,cons
AbraSilver Resource,ABBRF,Silver,Developer,High,Argentina,62,185000000,true,0.95,Diabillos silver-gold project in Argentina.,Large resource improving jurisdiction,Argentina political risk
Aftermath Silver,AAGFF,Silver,Developer,High,Peru,56,72000000,true,0.28,Berenguela silver-copper-manganese project.,Andes location polymetallic,Peru jurisdiction risk
Alamos Gold,AGI,Gold,Producer,Medium,"Canada / Mexico",74,1850000000,true,14.2,Mid-tier gold producer with strong growth.,Diversified good margins dividend,Moderate scale
Andean Precious Metals,ANPMF,Silver,Producer,High,Bolivia,71,741000000,true,1.48,Bolivia silver-gold producer with rapid growth.,Pure-play Andes silver production ramp,Bolivia political risk
Apollo Silver,APGOF,Silver,Developer,High,Mexico,64,148000000,true,0.31,High-grade silver project in Mexico.,High-grade large resource clean balance sheet,Early development permitting timeline
Argentum Silver,AGMRF,Silver,Explorer,High,"Canada - Ontario",49,38000000,true,0.12,Cobalt silver district with historic production.,Ontario high-grade cobalt by-product optionality,Very early no current resource
Arizona Sonoran Copper,ASCUF,Copper,Developer,High,"USA - Arizona",67,320000000,true,1.45,Cactus project - brownfield copper with strong economics.,Arizona jurisdiction brownfield strong economics,Still pre-production financing ahead
Ascot Resources,AOTVF,Gold,Developer,High,"Canada - BC",58,185000000,true,0.42,Premier gold project in BC with high-grade underground potential.,High-grade BC jurisdiction,Development stage
Avino Silver & Gold,ASM,Silver,Producer,High,Mexico,55,185000000,true,1.25,Avino mine in Mexico. Small but consistent silver-gold producer.,Producing exploration upside low valuation,Mexico risk small scale
Aya Gold & Silver,AYASF,Silver,Producer,High,Morocco,65,920000000,true,8.45,Zgounder high-grade silver mine in Morocco.,High-grade low-cost excellent management,North Africa jurisdiction
Banyan Gold,BYN,Gold,Explorer,High,"Canada - Yukon",52,85000000,true,0.28,AurMac gold project in Yukon with large near-surface resource.,Large tonnage Yukon,Early stage
Bear Creek Mining,BCMDF,Silver,Developer,High,Peru,57,145000000,true,0.38,Corani silver project in Peru.,Large scale good metallurgy,Permitting delays
Cascadia Minerals,CMILF,Copper,Explorer,High,"Canada - Yukon",54,48000000,true,0.22,Catch copper-gold porphyry project.,Yukon new discovery potential,Early exploration
Cassiar Gold,CGLD,Gold,Explorer,High,"Canada - BC",50,42000000,true,0.18,Cassiar gold project with historic production.,Past production BC,Exploration risk
Coeur Mining,CDE,Silver,Producer,Medium,"USA / Mexico",66,1650000000,true,6.2,US silver-gold producer with Rochester Palmarejo Kensington.,USA + Mexico mix silver leverage,Mixed cost profile historically
Dolly Varden Silver,DOLLF,Silver,Developer,High,"Canada - BC",61,165000000,true,0.85,Dolly Varden + Homestake Ridge high-grade silver-gold.,BC Canada high-grade veins,Development stage
Dundee Precious Metals,DPMLF,Gold,Producer,Medium,"Bulgaria / Namibia / Ecuador",65,980000000,true,8.5,Gold producer with operations in Europe and Africa.,Low costs strong cash generation,Bulgaria/Ecuador risk
Eagle Plains Resources,EGPFF,Gold,Explorer,High,Canada,48,28000000,true,0.12,Multiple early-stage gold and critical mineral projects.,Diversified projects low overhead,Very early stage
Endeavour Silver,EXK,Silver,Producer,High,Mexico,59,980000000,false,4.85,Mexican silver producer with Terronera development.,Production growth via Terronera,Mexico jurisdiction risk
Energy Fuels,UUUU,Uranium,Producer,High,USA,65,1450000000,true,6.85,Leading US uranium producer with rare earths and vanadium.,USA strategic asset diversified,Uranium price recovery dependent
Ero Copper,ERO,Copper,Producer,Medium,Brazil,67,1580000000,true,16.4,High-grade copper-gold producer in Brazil.,Low costs high margins,Brazil exposure
Equity Metals,EQMEF,Silver,Explorer,High,"Canada - BC",50,52000000,true,0.15,Silver Queen high-grade project.,High grades past production history,Exploration stage
Faraday Copper,CPPKF,Copper,Developer,High,"USA - Arizona",63,285000000,true,0.95,Copper Creek project in Arizona. Large resource.,USA copper large resource strong team,Long development timeline large capex required
Finlay Minerals,FMLMF,Copper,Explorer,High,"Canada - BC",50,32000000,true,0.09,Silver Hope copper-gold project.,BC copper focus low valuation,Exploration risk
Fireweed Metals,FWEDF,Critical Minerals,Developer,High,"Canada - Yukon",60,185000000,true,0.72,Macmillan Pass zinc-lead-silver project.,Large resource Yukon,Remote location
Fission Uranium,FCUUF,Uranium,Developer,High,"Canada - Saskatchewan",68,680000000,true,0.95,Patterson Lake South high-grade uranium project.,World-class grade safe jurisdiction,Pre-production
Galiano Gold,GAU,Gold,Producer,Medium,Ghana,65,680000000,true,1.65,Asanko Gold Mine in Ghana (JV with Gold Fields).,Low cost strong JV partner,Africa jurisdiction risk
Golden Arrow Resources,GARWF,Silver,Explorer,High,Argentina,52,38000000,true,0.08,Chinchillas silver project with royalty component.,Royalty income + exploration,Argentina risk
Golden Minerals,AUMN,Gold,Producer,High,Mexico,46,45000000,false,0.18,Velardeña and Rodeo projects in Mexico.,Ultra-low market cap dual project optionality,Very small scale Mexico risk
Goliath Resources,GOTRF,Gold,Explorer,High,"Canada - BC",52,85000000,true,0.65,Golddigger project with high-grade discoveries.,High grades recent drilling success,Exploration stage
Guanajuato Silver,GSVRF,Silver,Producer,High,Mexico,53,185000000,true,0.28,Reviving historic silver districts in Mexico.,Low capex restarts district consolidation,Small scale execution risk
Highland Gold,HGM,Gold,Producer,High,"Russia / Kyrgyzstan",48,680000000,false,4.2,Gold producer with assets in Russia and Central Asia.,Low costs production growth,Russia risk (sanctions)
